d	ENGLISH_M	ENGLISH_F
\\		
\\		
LOC_ID_CLASS_PASSIVE_TITLE_SwordClass_1	Knight	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_SwordClass_1	The stable fable. Good at everything and perfect marriage material.	
LOC_ID_CLASS_PASSIVE_CONTROLS_SwordClass_1	<color=blue><b>Great Health and Mana.</b></color></LB> <color=blue><b>Veteran: +5% Weapon Crit. Chance.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_AxeClass_1	Barbarian	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_AxeClass_1	Half bear, half barbell. What Barbarians lack in brains they make up for in bears.	
LOC_ID_CLASS_PASSIVE_CONTROLS_AxeClass_1	<color=blue><b>Great Health, good Mana.</b></color></LB> <color=blue><b>Tough: +20% Vitality.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_SpearClass_1	Valkyrie	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_SpearClass_1	The long-range engage. Valkyries are safe, versatile, and probably a little overpowered.	
LOC_ID_CLASS_PASSIVE_CONTROLS_SpearClass_1	<color=blue><b>Average Health, great Mana.</b></color></LB> <color=blue><b>Battleborn: +5% Magic Crit. Chance, and +10% Magic Crit. Damage.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_MagicWandClass_1	Mage	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_MagicWandClass_1	Nerd's the word. Mages flaunt massive beards to hide their frail upper body.	
LOC_ID_CLASS_PASSIVE_CONTROLS_MagicWandClass_1	<color=blue><b>Low Health, incredible Mana.</b></color></LB> <color=blue><b>Siphon: Your attacks apply <color=purple>Mana Leech</color>.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_SaberClass_1	Duelist	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_SaberClass_1	Masters of one-on-one combat, Duelists dance around their foes with the grace of a swallow wearing full-plate armor.	
LOC_ID_CLASS_PASSIVE_CONTROLS_SaberClass_1	<color=blue><b>Average Health, good Mana.</b></color></LB> <color=blue><b>Show-Off: Casting your Talent grants <color=purple>Charged</color>.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_TonfaClass_1	Martial Artist - UNUSED	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_TonfaClass_1	Trained to kill with their bare hands but wise enough not to. Martial artists are considered a waste of funding.	
LOC_ID_CLASS_PASSIVE_CONTROLS_TonfaClass_1		
LOC_ID_CLASS_PASSIVE_TITLE_DualBladesClass_1	Assassin	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_DualBladesClass_1	Two butts with two blades.</LB> Assassins are silent butt deadly.	
LOC_ID_CLASS_PASSIVE_CONTROLS_DualBladesClass_1	<color=blue><b>Low Health, good Mana.</b></color></LB> <color=blue><b>Eagle Eye: +10% Super Crit. Chance.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_BowClass_1	Ranger	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_BowClass_1	Highly skilled in tracking, Rangers can differentiate between 50 kinds of animal poop from taste alone.	
